title,lat,lon,influence
思源樓旁花圃,24.226772,120.582698,0
主顧樓後道路,24.226955,120.584126,1
主顧樓後道路,24.227171,120.584117,1
主顧樓後道路,24.227146,120.584113,1
排球場旁圍欄,24.226295,120.577871,0
櫻花步道旁,24.226382,120.579008,1
至善樓旁,24.227764,120.579568,1
操場旁,24.22898,120.578889,2
操場旁,24.228907,120.579050,2
操場旁,24.229025,120.578707,2
操場旁,24.229084,120.578552,2
操場旁,24.229128,120.578434,2
操場旁,24.229108,120.578321,2
操場旁欄杆,24.228791,120.579504,1
操場對面人行道,24.22738,120.578948,1
操場對面人行道,24.227318,120.578971,1
體育室旁草叢,24.227594,120.578948,0
游泳池旁,24.229804,120.580102,1
游泳池旁,24.229804,120.580282,2
游泳池旁,24.229783,120.58,1
游泳池旁,24.229568,120.580447,1
溜冰場外欄杆,24.229282,120.579827,0
體育館旁,24.229338,120.580523,0
體育館旁,24.229305,120.580513,1
小羅馬前,24.226604,120.579167,1
小羅馬前,24.226623,120.579169,2
廢水處理外欄杆,24.225799,120.581881,1
廢水處理外欄杆,24.22583,120.58217,1
格倫樓左側,24.226013,120.583511,1
格倫樓左側,24.226007,120.583493,1
側邊花圃,24.225862,120.582939,0
生態池,24.228081,120.583285,0
生態園,24.227934,120.583998,1
生態園,24.228007,120.583931,1
生態園,24.22775,120.58382,2
生態園,24.227732,120.583782,2
方濟樓外欄杆,24.228685,120.583696,2
計中停車場,24.226002,120.579771,1
計中外斜坡,24.225708,120.579997,2
